100037419	NP_001078813
100049551	NP_001091704
100126690	NP_001104182
100174948	NP_001124510
100187599	NP_001127805
100187709	NP_001127843
100188904	NP_001128141
100188940	NP_001128194
100188973	NP_001128414
100191002	NP_001129381
100192200	NP_001129679
100192201	NP_001129680
100192202	NP_001129681
100216325	NP_001135436
100216489	NP_001136079
100217360	NP_001136165
100302106	NP_001155259
100302584	NP_001157189
100328599	NP_001164522
100359409	NP_001165874
100359410	NP_001165876
100379261	NP_001166189
100576082	XP_016771904
100576085	XP_026298573
100576088	XP_026302044
100576090	NP_001257752
100576093	XP_006558247
100576096	XP_026297964
100576097	XP_026301346
100576098	XP_026295387
100576099	XP_006564549
100576100	XP_016767406
100576101	XP_003251121
100576104	XP_003251352
100576106	XP_003251506
100576110	XP_006557379
100576115	XP_026301415
100576116	XP_003250417
100576118	XP_006568992
100576121	XP_003249151
100576125	XP_006562710
100576126	XP_026297916
100576128	XP_026300973
100576129	XP_003250685
100576130	XP_026299101
100576131	XP_006569625
100576132	XP_003251757
100576134	XP_006557857
100576135	XP_026295988
100576136	XP_016771932
100576140	XP_003250480
100576143	XP_003251662
100576146	XP_016768578
100576147	XP_006559945
100576150	XP_003250331
100576151	XP_003250418
100576152	XP_003250708
100576153	XP_026299403
100576155	XP_026296577
100576157	XP_026299858
100576159	XP_026301425
100576162	XP_003250108
100576163	XP_003250155
100576165	XP_003250517
100576167	XP_016769530
100576169	XP_003251700
100576170	XP_003251865
100576172	XP_016768115
100576174	XP_003249688
100576176	XP_016770410
100576179	XP_026297187
100576182	XP_003249871
100576184	XP_003250709
100576185	XP_026299720
100576186	XP_006566668
100576187	XP_026298571
100576192	XP_003249953
100576193	XP_003250171
100576194	XP_003250310
100576195	XP_003250551
100576196	XP_006565642
100576198	XP_003251162
100576212	XP_003249267
100576215	XP_003250493
100576216	XP_016767897
100576217	XP_026299157
100576220	XP_003249297
100576221	XP_026301142
100576222	XP_003250109
100576223	XP_026299180
100576224	XP_006563697
100576225	XP_016770562
100576226	XP_006565007
100576227	XP_003250613
100576231	XP_026302063
100576233	XP_026297166
100576236	XP_003250191
100576242	XP_026295559
100576246	XP_003249268
